ID;1;2;3;4;5;6;7;8;9;10;11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;251;252;253;254;255;256;257;258;259;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;286;287;288;289;290;294;295;296;297;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394;395;396;397;398;399;400;401;402;403;404;405;406;407;408;409;410;411;412;413;414;415;416;417;418;419;420;421;422;423;424;425;426;427;428;429;430;431;432;433;434;451;452;453;454;455;456;457;458;459;460;461;462;taxonomy_f;taxonomy_g
Nem_1;0;0;30,37;0;0;50,49;9,94;0;0;0;0;40,57;0;12,29;0;9,57;0;0;0;0;38,22;14,73;0;30,43;0;0;206,41;0;0;57,48;0;0;0;45,07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38,43;13,43;2;76,01;0;0;103,47;15;69,43;18,97;26,25;2;0;56,39;134,94;329,84;88,86;9,76;15,78;9,73;79,74;0;0;30,72;0;0;0;0;100;0;0;0;50,1;0;228,93;0;0;0;0;28,85;20,58;0;0;20;0;0;0;0;0;0;0;0;0;42,25;31,66;42,55;4,68;0;0;24,85;42,98;18,1;30,88;0;0;0;0;18,83;0;27,16;0;0;0;8;54,47;28,38;33,84;0;0;0;20,37;183,18;89,64;4,86;48,92;9,61;0;9,07;47,17;0;0;0;45,62;0;14;21,94;0;0;2;0;11,13;102,73;54,66;17,9;0;0;35,68;17,84;16,43;0;200;0;8;0;0;0;92,91;0;2;0;17,77;0;0;0;63,49;0;0;0;4;0;0;21,41;44,66;13,36;25,72;51,18;14,86;0;0;207,28;0;26,2;0;1,77;59,86;5,69;1;8,23;0;0;2;0;0;0;12,67;0;11,58;50,42;2;2,78;0;0;0;4,98;0;53,23;0;0;0;34;64,59;14,64;0;0;0;0;0;32,13;0,97;17,23;194,71;0;4;36,03;119,22;10,64;0;4;24,95;29,3;0;2;0;0;0;56,18;4,02;16,69;0;0;0;13,16;0;0;0;41,52;0;0;0;0;0;21,69;10,57;59,37;67,84;0;18,71;8;0;4;0;0;10;117,26;0;74,87;79,92;0;10;37,35;15,96;0;8;0;9,14;51,74;0;0;0;0;0;50;0;33,68;36,52;9,13;26,18;12,63;0;0;2;63,88;8;22,63;0;10;43,09;0;0;6;42,49;8,78;0;0;121,74;46,9;0;72,79;0;2;34,42;0;0;0;14,95;2;0;0;0;14,19;0;0;0;0;0;10,8;0;17,38;50,99;0;0;0;0;0;0;0;0;22,86;93,53;0;0;23,26;0;0;0;0;0;0;0;0;0;0;0;37,23;0;4,88;0;0;38,32;0;0;0;0;0;0;8,25;0;0;0;0;0;0;0;0;0;0;0;0;27,66;0;0;0;0;0;0;0;0;4;0;0;13,3;22,06;9,02;2;8,26;0;0;Alaimidae;NA
Nem_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,63;0;0;0;0;0;0;0;19,45;0;15,2;0;0;0;0;0;42,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Anguinidae;NA
Nem_3;0;0;0;0;41,01;0;0;0;2;11,47;17,32;0;69,93;24,58;14,13;9,57;0;208,78;0;75,51;496,92;265,14;262,57;76,07;162,35;0;0;17,29;41,02;86,21;0;80,52;85,17;0;44,55;0;78,36;266,06;158,54;0;210,96;541,89;37,02;83,04;68,37;92,84;139,69;12,22;7,06;15,37;33,58;47,66;25,34;12;35,66;172,46;0;34,71;6,32;0;94,94;0;56,39;0;0;59,24;0;94,69;68,08;159,47;0;96,8;0;480,49;637,36;159,68;8,4;100;175,65;234,58;333,56;200,41;87,21;45,79;110,29;23,07;63,01;121,26;0;41,17;67,71;138,49;20;164,89;0;140,28;5,34;163,4;55,38;218,14;62,12;56,38;28,17;10,55;42,55;0;6,45;22,6;24,85;85,97;181,04;15,44;138,27;21;857,08;0;26,36;100,32;0;116,46;26,41;68,71;249,02;54,47;104,06;541,5;3,85;73,84;131,5;122,23;61,06;14,94;0,97;293,55;0;183,48;0;31,44;40,64;47,65;126,38;30,41;129,87;28;142,61;94,42;2765,49;23;20,6;11,13;0;9,11;0;15,7;3,88;303,3;124,89;82,17;59,24;200;16,16;276,77;20,49;57,83;496,92;0;86,22;6,85;10,05;35,53;82,3;0;82,81;21,16;29,4;83,64;210,94;0;93,71;0;192,68;0;0;25,72;230,29;133,71;0;377,14;0;0;157,2;4,84;10,62;79,82;5,69;0;106,98;106,71;39,57;120,67;104,56;18,65;126,6;101,38;698,68;266,28;151,25;30,24;0;22,22;0;124,96;0;146,76;26,61;0;26;17,04;45,33;145,33;0;622,34;0;292,73;210,84;114,97;80,32;0;120,64;0;68,55;0;144,11;39,74;148,94;0;34,73;149,71;73,26;289,47;0;127,32;102,04;247,28;168,55;0;150,18;0;175,88;0;26,32;0;717,73;139,22;0;16,66;0;448,8;19,34;45,1;86,77;10,57;0;16,96;0;130,95;61,94;197,46;0;0;156,43;111,25;0;0;0;133,2;88,44;125,84;186,74;0;60,67;0;0;210,14;0;139,85;391,67;337,73;0;21,06;177,86;32,13;84,2;146,1;68,46;0;290,58;0;123,38;255,48;0;18,63;226,25;246,99;160,96;43,09;85,21;243,28;0;169,94;0;234,97;86,57;852,17;93,79;32,89;36,4;207,32;411,8;447,46;0;68,48;377,91;0;0;2,24;0;90;0;0;103,57;8,99;61,06;38,36;53,98;251,74;52,13;0;0;0;0;0;0;123,68;6,72;0;45,71;0;0;0;209,33;388,89;0;0;4,82;0;190,83;23,36;0;44,84;197,03;10,17;148,94;0;2,44;251,61;214,43;0;9,25;480,92;19,42;175,4;301,88;292,99;49,5;533,33;52,39;165,76;272,22;569,8;0;402,88;36,04;0;292,46;330,56;127,69;55,32;905,52;58,88;40,84;330;966,67;272,09;0;0;50,77;164,24;25;26,6;88,24;36,1;0;0;84,06;8,64;Aphelenchidae;NA
Nem_4;170,21;322,39;379,61;200,22;379,33;504,91;318,03;370,72;132;630,84;692,78;223,14;307,7;614,39;367,38;421,06;195,69;688,99;1721,11;539,38;1280,53;1060,57;627,26;410,77;3355,18;1685,14;1000,31;657,05;471,69;1551,84;1328,71;241,57;1022,07;1577,41;1002,48;3452,43;1567,13;1552,01;1807,39;1216,62;1397,61;541,89;1073,47;581,25;467,21;633;2514,38;203,7;155,42;207,53;181,35;1739,68;1013,51;58;40,75;1690,07;720;2638,22;404,73;721,82;388,39;777,13;1353,4;119,95;522,25;547,97;702,39;725,96;778,06;1196,03;790,54;322,68;1843,28;489,23;684;626,44;436,98;750;102,46;324,81;1792,88;1077,2;363,39;1282,02;1286,76;1061,17;165,4;768;2019,85;638,11;564,23;332,38;320;1401,53;3856,33;627,92;496,54;833,33;1412,09;394,73;103,54;0;605,64;612,17;468,09;355,6;425,45;293,8;347,91;1289,49;199,14;293,35;1693,83;1050;838,03;477,8;105,43;434,7;651,83;1601,36;149,66;604,6;446,17;1007,67;473,02;1861,39;16,35;406,11;1358,83;814,83;519,01;149,4;16,53;1908,06;259,35;1857,69;226,67;613,15;60,96;452,7;126,38;471,41;753,25;266;372,99;1951,32;221,24;81;386,3;590,04;291,06;163,97;501,24;973,51;15,52;1248,89;624,44;1281,86;1244,12;3200;517,12;956,13;911,93;1561,36;2070,51;2787,4;2414,17;130,08;120,6;461,91;329,2;640,37;811,56;1354,49;411,62;1170,95;500;459,47;820;1763,91;1305,97;1562,98;895,36;2083,2;217,5;861,71;2844,48;1540;634,04;95;379,9;22,27;162,83;997,74;204,73;98;485,51;466,85;738,71;861,9;283,81;534,63;464,18;443,53;414,47;1088,28;378,13;680,4;178,04;1155,56;217,78;1332,89;388,68;2494,93;1437,1;350,54;42;451,69;238;694,37;1097,73;579,42;940,24;329,32;1001,48;2213,1;369,46;58,06;344,68;3310,06;322,18;692,06;396,31;2622,89;393,62;1733,17;583,51;873,33;124,54;1013,16;367,37;400,13;391,16;769,31;589,91;269,05;584,01;505,25;1055,27;877,45;657,93;1670,02;933,05;497,22;1909,7;164,76;2284,74;1020;215,48;375,81;542,31;147,92;638,18;390,11;550,52;729,59;1006,55;362,01;2417,66;1196,69;1072,63;2299,17;1289,86;154,34;673,82;532,79;796;704,7;1307,16;478,68;1304,44;392,03;430,7;246,69;3104,17;1503,36;587,5;1080,73;2724,01;1116,23;1630,36;380,23;353,65;255,67;196,26;1164,85;543,25;918,58;616,9;525,16;1309,64;1341,37;678,75;1058,52;2060,27;1981,91;2840,24;684,24;277,74;1402,02;228,27;5639,23;221,24;304,35;1875,86;602,99;691,54;189,02;362,78;2478,25;277,69;445,13;283,44;1226,15;743,78;130;353,38;558;262,58;366,42;103,57;256,27;86,5;70,33;507,46;181,81;799,39;917,87;579,71;1805,67;3697,92;611,62;973,75;510,18;12,47;867,71;502,86;1309,41;6016,52;1376,74;1186,22;444,44;1478,11;4587,13;23,12;1496,81;1439,92;1378,28;247,06;1688,97;560,78;1087,83;1303,19;112,26;70,83;4696,77;357,38;1724,21;319,13;1410,69;942,06;110,44;60,38;423,21;544,5;1422,22;742,16;1464,17;707,78;2247,55;354,51;1007,19;672,82;2960;1674,97;563,89;798,08;1770,21;446;1589,76;332,57;1080;1233,33;695,35;937,51;410,34;241,14;554,3;237,5;505,34;338,26;568,51;136;751,57;630,43;259,27;Aphelenchoididae;NA
Nem_5;5,77;53,73;0;15,4;61,51;25,25;79,51;0;24;206,46;69,28;0;153,85;159,74;56,52;124,41;0;83,51;0;10,79;114,67;29,46;14,59;76,07;54,12;0;0;34,58;10,25;0;17,96;80,52;17,03;22,53;22,28;31,1;31,34;0;95,13;13,08;0;21,68;12,34;27,68;11,4;16,88;34,92;0;0;15,37;6,72;23,83;76,01;8;22,92;34,49;135;138,85;113,83;13,12;94,94;10,95;112,78;14,99;27,49;14,81;9,76;94,69;9,73;39,87;121,62;0;30,72;61,15;31,09;0;25,21;100;0;18,04;41,69;75,15;58,14;228,93;36,76;23,07;0;0;57,71;20,58;0;0;0;206,11;56,71;10;5,34;16,34;55,38;41,55;31,06;14,1;0;0;42,55;4,68;6,45;67,8;37,28;21,49;81,47;0;172,84;63;2;0;26,36;18;13,58;14,56;0;41,22;41,5;0;0;33,84;4;55,38;21,92;61,11;91,59;119,52;5,83;489,25;4,8;22,93;0;31,44;10,16;8;21,06;60,83;77,92;14;21,94;0;27,65;7;25,75;11,13;51,36;27,33;125,31;14;3,88;35,68;17,84;32,87;0;66,67;0;50,32;6;173,48;41,41;46,46;0;34,23;10,05;53,3;54,87;6,74;33,13;21,16;14,7;55,76;15,63;59,29;70,29;20,75;192,68;178,63;13,36;102,87;25,59;59,43;4;0;0;2;13,1;4,84;0;19,95;4;5;74,06;0;65,96;17,24;14,94;12,43;109,72;8;11,84;34,73;25,21;15,12;2,78;10;0;41,65;0;0;0;0;0;8,52;11,33;0;2;0;11,61;54,89;26,35;75;0;25;17,23;16;13,71;0;0;0;95,74;0;0;34;29,3;28,95;9,07;0;51,02;27,48;28,09;0;33,37;4;8;12,72;13,16;28,31;0;0;6;9,26;22,62;14;2,76;0;86,77;10,57;29,68;50,88;4;130,95;15,49;263,28;6;0;22,35;185,42;0;5,51;14,97;26,64;132,67;100,67;37,35;79,78;0;12,65;17,7;91,37;155,21;34,96;83,93;0;23,69;147,43;177,86;10,71;33,68;146,1;9,13;8;50,54;31,32;0;42,58;63,88;8;22,63;35,28;160,96;86,17;28,4;0;44,8;0;2;6;153,9;121,74;187,59;10,96;36,4;54,88;0;8;2,89;68,48;47,24;44,86;17,3;4,48;58,9;0;2;14,66;25,89;13,49;5,09;15,98;107,97;237,75;17,38;2;6;30;52,08;6,72;2;0;0;15,22;22,86;62,35;54,2;59,86;10;41,67;30,17;40;1,93;0;17,35;23,36;10;14,95;0;10,17;0;0;4,88;41,94;71,48;76,63;0;0;6;6,5;10,06;16,28;2;35,56;6;0;0;40;28,14;40,29;12,01;0;0;100;0;50;13,52;29,44;5,83;30;33,33;10;0;0;0;0;12,5;4;7,35;0;0;0;0;17,28;Aporcelaimidae;NA
Nem_6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,32;0;0;0;0;0;0;44,43;0;0;0;119,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,94;0;0;0;0;0;0;0;0;0;0,97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54,89;0;28,74;0;0,97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Belondiridae;NA
Nem_7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Bunonematidae;NA
Nem_8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,84;0;0;0;0;0;7,69;0;0;0;0;0;0;15;34,71;0;0;0;0;0;7,5;0;59,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,45;0;0;0;0;0;0;0;0;0;0;33,44;0;0;0;0;0;299,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28,95;0;0;0;0;0;0;0;0;0;0;0;0;71,77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180,42;0;0;0;0;0;0;0;0;0;0;0;0;0;5,9;0;310,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,29;0;0;0;0;0;0;0;0;50,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,35;0;0;0;0;0;0;0;0;0;Paratylenchidae;Cacopaurus
